pumpModel,pumpWeight,pumpLength_mm
ЭЦН5-80-2750,604,17837
ЭЦН5-80-2900,637,18837
ЭЦН5-80-3100,670,19837
ЭЦН5-80-1250,264,7820
ЭЦН5-80-1450,297,8820
ЭЦН5-80-1650,330,9820
ЭЦН5-80-1950,411,12185
ЭЦН5-80-2550,510,15185
ЭЦН5-80-3250,657,19550
ЭЦН5-80-850,183,5455
ЭЦН5-80-1750,363,10820
ЭЦН5-80-1900,411,12185
ЭЦН5-80-2100,444,13185
ЭЦН5-80-2450,510,15185
ЭЦН5-80-2650,543,16185
ЭЦН5-80-2800,591,17550
ЭЦН5-80-2950,624,18550
ЭЦН5-80-3150,657,19550
ЭЦН5-80-1150,349,9107
ЭЦН5-80-1300,390,10107
ЭЦН5-80-2200,644,16472
ЭЦН5-80-2300,692,17837
ЭЦН5-80-1100,382,9107
ЭЦН5-80-1500,525,12472
ЭЦН5-80-1700,560,13472
ЭЦН5-80-1600,375,11644
ЭЦН5-80-1850,438,13644
ЭЦН5-125-750,198,5742
ЭЦН5-125-850,247,7107
ЭЦН5-125-1000,281,8107
ЭЦН5-125-1200,315,9107
ЭЦН5-125-1300,348,10107
ЭЦН5-125-1500,381,11107
ЭЦН5-125-1600,431,12472
ЭЦН5-125-1800,465,13472
ЭЦН5-125-1900,498,14472
ЭЦН5-125-2050,531,15472
ЭЦН5-125-2250,564,16472
ЭЦН5-125-2350,616,17837
ЭЦН5-125-2500,649,18837
ЭЦН5-125-2650,682,19837
ЭЦН5-125-2800,715,20837
ЭЦН5-125-2950,748,21837
ЭЦН5-125-900,235,6820
ЭЦН5-125-1050,269,7820
ЭЦН5-125-1350,336,9820
ЭЦН5-125-1650,419,12185
ЭЦН5-125-1950,486,14185
ЭЦН5-125-2100,519,15185
ЭЦН5-125-2300,603,17550
ЭЦН5-125-2550,636,18550
ЭЦН5-125-2700,672,19550
ЭЦН5-125-2850,702,20550
ЭЦН5-125-3000,735,21550
ЭЦН5-125-3100,786,29915
ЭЦН5-125-2400,607,17837
ЭЦН5-125-2900,652,20837
ЭЦН5-125-3050,667,21837
ЭЦН5-125-1150,306,9107
ЭЦН5-125-1450,336,11107
ЭЦН5-125-1750,456,13472
ЭЦН5-125-2200,501,16472
ЭЦН5-125-2450,621,18837
ЭЦН5-125-1550,339,10436
ЭЦН5-125-2000,445,13644
ЭЦН5-125-2150,477,14644
ЭЦН5-125-2600,583,17852
ЭЦН5-125-2750,615,18852
ЭЦН5-200-900,366,8107
ЭЦН5-200-1050,412,9107
ЭЦН5-200-1200,459,10107
ЭЦН5-200-1350,507,11107
ЭЦН5-200-1450,564,12472
ЭЦН5-200-1600,611,13472
ЭЦН5-200-1750,658,14472
ЭЦН5-200-1850,705,15472
ЭЦН5-200-2000,753,16472
ЭЦН5-200-2100,810,17837
ЭЦН5-200-2250,858,18837
ЭЦН5-200-2400,905,19837
ЭЦН5-200-2550,952,20837
ЭЦН5-200-950,354,7820
ЭЦН5-200-1100,401,8820
ЭЦН5-200-1900,694,15185
ЭЦН5-200-2050,742,16185
ЭЦН5-200-2150,799,17550
ЭЦН5-200-2300,846,18550
ЭЦН5-200-2450,893,19550
ЭЦН5-200-2600,940,20550
ЭЦН5-200-1000,345,9107
ЭЦН5-200-1250,415,11107
ЭЦН5-200-1500,505,13472
ЭЦН5-200-2350,766,20837
ЭЦН5-200-850,300,8107
ЭЦН5-200-1300,470,12472
ЭЦН5-200-1400,505,13472
ЭЦН5-200-1550,540,14472
ЭЦН5-200-1650,575,15472
ЭЦН5-200-1800,610,16472
ЭЦН5-200-1150,335,9436
ЭЦН5-200-1700,518,14644
ЭЦН5-200-1950,603,16852
ЭЦН5-200-2200,669,18852
ЭЦН5А-25-1100,280,4395
ЭЦН5А-25-1400,310,5395
ЭЦН5А-25-1600,360,6760
ЭЦН5А-25-1900,390,7760
ЭЦН5А-25-2200,440,8760
ЭЦН5А-25-2500,480,9760
ЭЦН5А-25-2800,510,10760
ЭЦН5А-25-3000,580,12125
ЭЦН5А-25-3300,610,13125
ЭЦН5А-25-3600,660,14125
ЭЦН5А-25-1650,360,6434
ЭЦН5А-25-1950,390,7434
ЭЦН5А-25-3050,580,11640
ЭЦН5А-25-3350,610,12640
ЭЦН5А-25-3650,660,13640
ЭЦН5А-35-1200,2484,5742
ЭЦН5А-35-1350,313,7107
ЭЦН5А-35-1600,356,8107
ЭЦН5А-35-1850,396,9107
ЭЦН5А-35-2100,436,10107
ЭЦН5А-35-2350,456,11107
ЭЦН5А-35-2550,478,12472
ЭЦН5А-35-2800,501,13472
ЭЦН5А-35-1100,247,5742
